protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
P12235,SLC25A4,2.4223521315792382,25.68203309086478,1.411558435631837,0.21788879039615644,0.42375301269161214,-5.618538022215286,0.3728872011412112,Not Significant
P12814,ACTN1,-0.3735467832970123,28.029713778980916,-1.411051505593659,0.21802942539300116,0.42385064986188153,-5.619135657606448,0.37278714663145024,Not Significant
Q9NYV4,CDK12,-0.4178220131208725,24.920433340771023,-1.4102166748177072,0.21826121616483593,0.4241253400350688,-5.620119673010249,0.37250577915868593,Not Significant
Q99567,NUP88,-3.2257587924474507,24.66654938491564,-1.4098768116430047,0.2183556462029292,0.42413299368136304,-5.620520201295603,0.3724979420736377,Not Significant
Q8IXK0,PHC2,-1.841842380065117,22.574811077620392,-1.408037643325875,0.21886732742824033,0.4249507720199513,-5.6226869688290595,0.3716613774282345,Not Significant
Q15185,PTGES3,-1.8335446216460447,26.836889104792434,-1.4053057935388054,0.21962946601296376,0.4262539574338555,-5.625903269455695,0.37033157589690613,Not Significant
Q15738,NSDHL,0.34392312186484375,27.24748780220781,1.4038065414474379,0.22004880074421837,0.42636034539742956,-5.6276672910805585,0.370223194637977,Not Significant
Q9Y5K8,ATP6V1D,1.8581932316337166,24.510213328746634,1.4037397419344493,0.2200675019567546,0.42636034539742956,-5.627745869280849,0.370223194637977,Not Significant
Q92544,TM9SF4,2.2043170109971193,25.234517341772914,1.403630732326974,0.2200980235574119,0.42636034539742956,-5.627874097103032,0.370223194637977,Not Significant
Q99816,TSG101,2.203406348835376,25.234304205150764,1.4035933132455642,0.22010850145172217,0.42636034539742956,-5.62791811215376,0.370223194637977,Not Significant
Q9UNQ2,DIMT1,2.140346663851055,25.114493675861905,1.403231561984557,0.22020982153056085,0.42636034539742956,-5.628343605221844,0.370223194637977,Not Significant
O43752,STX6,2.4654195489456825,19.69283252591367,1.4031592419041212,0.22023008239965372,0.42636034539742956,-5.628428662882511,0.370223194637977,Not Significant
O00308,WWP2,2.273256689112678,19.596751095997167,1.4022394412892023,0.22048792385552196,0.4264857120182521,-5.629510307008181,0.37009551384129197,Not Significant
O15397,IPO8,1.9493708718487284,24.6955595801569,1.4019085530514557,0.2205807494835212,0.4264857120182521,-5.629899344521554,0.37009551384129197,Not Significant
Q96EP5,DAZAP1,0.3533727074450965,26.71535463365903,1.4017391094785954,0.22062829862450276,0.4264857120182521,-5.630098550787934,0.37009551384129197,Not Significant
Q96HA1,POM121,-3.0411905931732974,24.303684971528128,-1.4016303920326503,0.22065881195738454,0.4264857120182521,-5.630226359128484,0.37009551384129197,Not Significant
Q9C0E8,LNPK,-2.964712297399249,24.174335749373657,-1.399686654762044,0.22120502911852946,0.42725355509285146,-5.632510721167006,0.3693143149131716,Not Significant
Q9NUL3,STAU2,2.6661107865336895,26.112798213492784,1.3995680524740532,0.2212383994474825,0.42725355509285146,-5.632650064757889,0.3693143149131716,Not Significant
Q13442,PDAP1,-3.7675565962268074,25.84092768246101,-1.3990235113523917,0.22139167455037415,0.42737346730543807,-5.633289772529035,0.3691924437080352,Not Significant
P62829,RPL23,0.3850306036386506,28.51010726320239,1.3972758192267576,0.22188428717102704,0.42802327204032653,-5.635342196290427,0.36853261733278597,Not Significant
Q68E01,INTS3,-0.7165668861580095,25.637575383944352,-1.3971813837687102,0.22191093472540932,0.42802327204032653,-5.6354530671381236,0.36853261733278597,Not Significant
Q5TBB1,RNASEH2B,1.6650832089394498,24.03980256207595,1.3963503785084665,0.22214555633248137,0.4282995567792432,-5.636428563691796,0.3682523750277326,Not Significant
Q15118,PDK1,2.328316750182534,19.624281126532093,1.3945984919862913,0.22264094418573285,0.4290781683382113,-5.638484261581784,0.3674635819750173,Not Significant
O60888,CUTA,-3.6701962199440743,25.410737036034252,-1.3939404467325023,0.22282729218897565,0.4292607967487583,-5.639256144360296,0.36727877267388487,Not Significant
O95816,BAG2,-3.2993840343176863,24.892319789913795,-1.3925023682348086,0.22323504698342359,0.4298696241624102,-5.64094246680942,0.3666632423096785,Not Significant
P46087,NOP2,-0.41916479957938435,28.164602159779147,-1.3913110858661064,0.2235733591938371,0.4302294406968905,-5.642338834451431,0.36629987406310566,Not Significant
O15212,PFDN6,-3.0911044510444867,24.463701528382533,-1.391198044443566,0.223605486993306,0.4302294406968905,-5.64247131029822,0.36629987406310566,Not Significant
Q16891,IMMT,-0.34269898843626123,28.266556770521152,-1.3889368370424104,0.2242490682309144,0.4312144587562841,-5.645120314260524,0.3653066855467496,Not Significant
Q9UIG0,BAZ1B,2.42180471443136,25.74468381240567,1.3887530991563428,0.22430144024916165,0.4312144587562841,-5.645335482943091,0.3653066855467496,Not Significant
P78527,PRKDC,0.414833916180271,28.94980972268287,1.3876318494511235,0.22462128795546288,0.4316523069484438,-5.646648275418993,0.36486593367717923,Not Significant
Q71DI3,H3C15,-0.6347687450752169,31.002589665566564,-1.3864881911931504,0.22494797174610826,0.43210292769426617,-5.647986840297852,0.36441279113575653,Not Significant
O94874,UFL1,0.40712620490613105,25.67046818156989,1.3860630786626928,0.2250695186844562,0.4321592929430751,-5.64848428242386,0.3643561437063561,Not Significant
O75663,TIPRL,2.083625206343946,25.04217865441981,1.3834787974855471,0.22580974406594947,0.4334030591470537,-5.651506859432455,0.36310802756627947,Not Significant
Q9Y570,PPME1,-3.0666995973401185,24.452339832850512,-1.3820144095084803,0.22623021345898617,0.434032341580953,-5.653218538762541,0.36247790816761344,Not Significant
Q99439,CNN2,2.8066550517493027,26.315868151040004,1.3805108794864918,0.2266626900796222,0.4345193532198376,-5.654975162123214,0.36199087558032483,Not Significant
O95239,KIF4A,-2.999652497527169,24.31036593794194,-1.3804873208117816,0.22666947271655705,0.4345193532198376,-5.6550026799688276,0.36199087558032483,Not Significant
Q9H857,NT5DC2,2.327446430301322,25.56101115249541,1.3799698037074644,0.22681851625403368,0.43462730404033356,-5.655607117948194,0.36188299402660135,Not Significant
Q07866,KLC1,2.95697609094767,26.795109073393643,1.3784159608539837,0.22726657419466295,0.4350450010107916,-5.657421355087379,0.36146581734459643,Not Significant
Q8WVX9,FAR1,0.3584469510406265,26.357981845211384,1.378113897518141,0.22735377238660473,0.4350450010107916,-5.657773936363874,0.36146581734459643,Not Significant
Q13162,PRDX4,-0.4420619440704492,28.230817628748042,-1.3779657603405366,0.22739654743742105,0.4350450010107916,-5.657946836269646,0.36146581734459643,Not Significant
Q9GZP9,DERL2,1.6130557119772853,24.05203154314236,1.3779268735940164,0.2274077773578919,0.4350450010107916,-5.657992222029204,0.36146581734459643,Not Significant
